,,,,,,"comunidad, deportes, educación"
Emisora Mcsstereo,Aragua,Local,Radio,Estatal,Diaria,Noticias de actividades relacionadas
,,,,,,con el alcalde del municipio Santos
Radio Ondas del Cercado,Lara,Global (web,Versión Digital,Privado,Otra,Oficialista
,,,"(Periódico, tv o radio,",,,
,,,que,,,
DJ Profile,Distrito,Global (web,Nativo Digital,Privado,Diaria,"Música, entretenimiento"
,,,(Transmitido,,,
,,,exclusivamente vía,,,
,,,web,,,
Radio Comunal Crepuscular,Lara,Local,Radio,Privado,Otra,Oficiales
Diario Últimas Noticias,Distrito,Nacional,Periódico (Impreso,Privado,Diaria,"Nacionales, internacionales,"
,,,,,,"sucesos, deportes, economía,"
,,,,,,"opinión, cultura"
Radio Comunitaria Kabudari,Lara,Local,Radio,Privado,Diaria,Oficiales
Caribe,Vargas (La,Estadal,Radio,Privado,Diaria,"Nacionales, regionales y música"
,Guaira,,,,,
Fabulosa,Guárico,Local,Radio,Privado,Diaria,"Política, economía, salud, deportes,"
,,,,,,Page
Medio,Estado,Alcance,Tipo,Naturaleza,Periodicidad,Fuentes
,,,,,,"cultura, educación, entretenimiento"
AMV,"Vargas (La
Guaira",Estadal,Radio,Estatal,Diaria,"Nacionales, regionales, música y de
opinión"
Televisora Venezuela y el Mundo,Guárico,Local,TV Cable,Privado,Diaria,"Política, religión, salud, deportes,
educación, cultura, ciencia y"
Autentik,"Vargas (La
Guaira",Estadal,Radio,Privado,Diaria,"Nacionales, regionales, música y de
opinión"
Guárico y su gente,Guárico,Local,TV Cable,Privado,Diaria,"Cultura, deportes, comunidad,
política"
Caribeña,"Vargas (La
Guaira",Estadal,Radio,Privado,Diaria,"Nacionales, regionales, música y de
opinión"
La Romántica 88.7 FM,Mérida,Municipal,Radio,Privado,Semanal,Todas las fuentes informativas
"Servicio de Información Venezuela
(SIVenezuela",Zulia,Global (web,"Nativo Digital
(Transmitido
exclusivamente vía
web",Privado,Diaria,"Política, nacionales, internacionales,
deportes, entretenimiento, ciencia y"
Campesina 94.5 FM,Lara,Local,Radio,Privado,Otra,Todas las fuentes informativas
La Radio,"Vargas (La
Guaira",Estadal,Radio,Privado,Diaria,"Nacionales, regionales y música"
Radio Comunitaria Sanareña 101.9,Lara,Local,Radio,Privado,Diaria,Corte oficialists
Azul,"Vargas (La
Guaira",Estadal,Radio,Privado,Diaria,"Nacionales, regionales y programas
de música"
Correo del Orinoco,Distrito,Nacional,Periódico (Impreso,Estatal,Diaria,"Política, economía, nacionales,
internacionales, deportes, cultura"
Clásicos FM Vargas,"Vargas (La
Guaira",Estadal,Radio,Privado,Diaria,"Nacionales, regionales y música"
Corazón Llanero,Distrito,Nacional,TV (Señal analógica,Estatal,Ocasional,"Política, nacionales"
,,,,,,"cultura, educación, entretenimiento"
AMV,"Vargas (La
Guaira",Estadal,Radio,Estatal,Diaria,"Nacionales, regionales, música y de
opinión"
Televisora Venezuela y el Mundo,Guárico,Local,TV Cable,Privado,Diaria,"Política, religión, salud, deportes,
educación, cultura, ciencia y"
Autentik,"Vargas (La
Guaira",Estadal,Radio,Privado,Diaria,"Nacionales, regionales, música y de
opinión"
Guárico y su gente,Guárico,Local,TV Cable,Privado,Diaria,"Cultura, deportes, comunidad,
política"
Caribeña,"Vargas (La
Guaira",Estadal,Radio,Privado,Diaria,"Nacionales, regionales, música y de
opinión"
La Romántica 88.7 FM,Mérida,Municipal,Radio,Privado,Semanal,Todas las fuentes informativas
"Servicio de Información Venezuela
(SIVenezuela",Zulia,Global (web,"Nativo Digital
(Transmitido
exclusivamente vía
web",Privado,Diaria,"Política, nacionales, internacionales,
deportes, entretenimiento, ciencia y"
Campesina 94.5 FM,Lara,Local,Radio,Privado,Otra,Todas las fuentes informativas
La Radio,"Vargas (La
Guaira",Estadal,Radio,Privado,Diaria,"Nacionales, regionales y música"
Radio Comunitaria Sanareña 101.9,Lara,Local,Radio,Privado,Diaria,Corte oficialists
Azul,"Vargas (La
Guaira",Estadal,Radio,Privado,Diaria,"Nacionales, regionales y programas
de música"
Correo del Orinoco,Distrito,Nacional,Periódico (Impreso,Estatal,Diaria,"Política, economía, nacionales,
internacionales, deportes, cultura"
Clásicos FM Vargas,"Vargas (La
Guaira",Estadal,Radio,Privado,Diaria,"Nacionales, regionales y música"
Corazón Llanero,Distrito,Nacional,TV (Señal analógica,Estatal,Ocasional,"Política, nacionales"
Vargas es Noticia,"Vargas (La
Guaira",Global (web,"Nativo Digital
(Transmitido
exclusivamente vía
web",Privado,Diaria,Locales y nacionales
Medio,Estado,Alcance,,Tipo,Naturaleza,Periodicidad
Mocotíes 104.9 FM,Mérida,Municipal,Radio,,Privado,Diaria
Diario de La Guaira,Vargas (La,Global (web,Nativo Digital,,Privado,Ocasional
,Guaira,,(Transmitido,,,
,,,exclusivamente vía,,,
,,,web,,,
Mía 105.7FM,Miranda,Local,Radio,,Privado,Diaria
,,,,,,
Diario Puerto,Vargas (La,Global (web,Nativo Digital,,Privado,Ocasional
,Guaira,,(Transmitido,,,
,,,exclusivamente vía,,,
,,,web,,,
El Tequeño,Miranda,Global (web,Versión Digital,,Privado,Diaria
,,,"(Periódico, tv o radio,",,,
,,,que,,,
Costa de Oro,Aragua,Local,Radio,,Privado,Semanal
,,,,,,
,,,,,,
Raudal Estéreo,Amazonas,Estadal,Radio,,Privado,Diaria
,,,,,,
Radio Aragua,Aragua,Regional (varios,Radio,,Privado,Semanal
,,estados en,,,,
,,simultáneo,,,,
Cool Channel,Distrito,Global (web,Nativo Digital,,Privado,Diaria
,,,(Transmitido,,,
,,,exclusivamente vía,,,
,,,web,,,
Radio Mundial 1080,Aragua,Municipal,Radio,,Privado,Diaria
,,,,,,
,,,,,,
Radio Fe y Alegría,Bolívar,Nacional,Radio,,Privado,Diaria
,,,,,,
Guiripa,Aragua,Municipal,Radio,,Privado,Diaria
Mocotíes 104.9 FM,Mérida,Municipal,Radio,Privado,Diaria,Todas las fuentes informativas
Diario de La Guaira,Vargas (La,Global (web,Nativo Digital,Privado,Ocasional,Locales y nacionales
,Guaira,,(Transmitido,,,
,,,exclusivamente vía,,,
,,,web,,,
Mía 105.7FM,Miranda,Local,Radio,Privado,Diaria,Fuentes oficiales y producción
,,,,,,nacional independiente
Diario Puerto,Vargas (La,Global (web,Nativo Digital,Privado,Ocasional,"Política, economía, locales y opinión"
,Guaira,,(Transmitido,,,
,,,exclusivamente vía,,,
,,,web,,,
El Tequeño,Miranda,Global (web,Versión Digital,Privado,Diaria,Todas las fuentes informativas
,,,"(Periódico, tv o radio,",,,
,,,que,,,
Costa de Oro,Aragua,Local,Radio,Privado,Semanal,Se dedica a la difusión de
,,,,,,"información local y regional,"
,,,,,,denuncias de
Raudal Estéreo,Amazonas,Estadal,Radio,Privado,Diaria,"Instituciones, comunidad portales"
,,,,,,wed
Radio Aragua,Aragua,Regional (varios,Radio,Privado,Semanal,"Noticias de la fuente de política, y"
,,estados en,,,,denuncias de comunidades por
,,simultáneo,,,,servicios
Cool Channel,Distrito,Global (web,Nativo Digital,Privado,Diaria,"Actualidad, internacionales,"
,,,(Transmitido,,,"deportes, entretenimiento,"
,,,exclusivamente vía,,,nacionales
,,,web,,,
Radio Mundial 1080,Aragua,Municipal,Radio,Privado,Diaria,"Difunde denuncias comunitarias,"
,,,,,,"programas de opinión, acontecer"
,,,,,,nacional
Radio Fe y Alegría,Bolívar,Nacional,Radio,Privado,Diaria,"Ciudad, laboral, educación, cultura,"
,,,,,,sucesos
Guiripa,Aragua,Municipal,Radio,Privado,Diaria,Información de eventos y denuncias
,,,,,,"del municipio San Casimiro,"
,,,,,,denuncias de
,,,,,,Page
Medio,Estado,Alcance,Tipo,Naturaleza,Periodicidad,Fuentes
Producciones Azúcar 100.5 C.A,Monagas,Estadal,Radio,Privado,Diaria,Todas las fuentes informativas
Camatagua Stereo,Aragua,Municipal,Radio,Privado,Ocasional,"Actividades del municipio
Camatagua y sectores de los
municipios del sur de"
"Circuito Regional de Noticias C.A
(TV",Monagas,Estadal,TV Cable,Privado,Diaria,Todas las fuentes informativas
Extrema,Aragua,Municipal,Radio,Privado,Ocasional,Eventos del municipio Camataga
Producciones sonora FM C.A (radio,Monagas,"Regional (varios
estados en
simultáneo",Radio,Privado,Diaria,"Cobertura de todas las fuentes. Se
hacen noticieros y programas de"
Caminos comunitarios,Aragua,Local,Radio,Privado,Diaria,"Difunde información del gobierno
local, regional y ejecutivo nacional"
El Raudal del Orinoco,Amazonas,Estadal,Periódico (Impreso,Privado,Mensual,"Económico, político, social y
sucesos"
Carora 100.5 FM,Lara,Estadal,Radio,Privado,Diaria,Todas las fuentes informativas
Radio El Fuerte,Yaracuy,Estadal,Radio,Privado,Diaria,"Opinión, Política, Entretenimiento"
Rutas,Aragua,Municipal,Radio,Privado,Diaria,"Acontecer nacional y actividades de
la Alcaldia de Mariño (Turmero"
Promar Tv,Lara,"Regional (varios
estados en
simultáneo",TV (Señal analógica,Privado,Diaria,Todas las fuentes informativas
Radio Carora,Lara,Estadal,Radio,Privado,Diaria,Toda indoley
Circuito POP,Distrito,Municipal,Radio,Privado,Diaria,"Actualidad, variedades,
entretenimiento, salud, viajes"
Cultiva,Aragua,Local,Radio,Privado,Diaria,"Información relacionada con
actividades ejecutadas por el
gobierno nacional"
Radio Comunitaria  Café 104.9 FM,Lara,Local,Radio,Privado,Otra,Todas las fuentes informativas
Radio Mix DJ Andrew,Lara,Local,Otro,Privado,Diaria,Música
Producciones Azúcar 100.5 C.A,Monagas,Estadal,Radio,Privado,Diaria,Todas las fuentes informativas
Camatagua Stereo,Aragua,Municipal,Radio,Privado,Ocasional,"Actividades del municipio
Camatagua y sectores de los
municipios del sur de"
"Circuito Regional de Noticias C.A
(TV",Monagas,Estadal,TV Cable,Privado,Diaria,Todas las fuentes informativas
Extrema,Aragua,Municipal,Radio,Privado,Ocasional,Eventos del municipio Camataga
Producciones sonora FM C.A (radio,Monagas,"Regional (varios
estados en
simultáneo",Radio,Privado,Diaria,"Cobertura de todas las fuentes. Se
hacen noticieros y programas de"
Caminos comunitarios,Aragua,Local,Radio,Privado,Diaria,"Difunde información del gobierno
local, regional y ejecutivo nacional"
El Raudal del Orinoco,Amazonas,Estadal,Periódico (Impreso,Privado,Mensual,"Económico, político, social y
sucesos"
Carora 100.5 FM,Lara,Estadal,Radio,Privado,Diaria,Todas las fuentes informativas
Radio El Fuerte,Yaracuy,Estadal,Radio,Privado,Diaria,"Opinión, Política, Entretenimiento"
Rutas,Aragua,Municipal,Radio,Privado,Diaria,"Acontecer nacional y actividades de
la Alcaldia de Mariño (Turmero"
Promar Tv,Lara,"Regional (varios
estados en
simultáneo",TV (Señal analógica,Privado,Diaria,Todas las fuentes informativas
Radio Carora,Lara,Estadal,Radio,Privado,Diaria,Toda indoley
Circuito POP,Distrito,Municipal,Radio,Privado,Diaria,"Actualidad, variedades,
entretenimiento, salud, viajes"
Cultiva,Aragua,Local,Radio,Privado,Diaria,"Información relacionada con
actividades ejecutadas por el
gobierno nacional"
Radio Comunitaria  Café 104.9 FM,Lara,Local,Radio,Privado,Otra,Todas las fuentes informativas
Radio Mix DJ Andrew,Lara,Local,Otro,Privado,Diaria,Música
Guaraña,Guárico,Local,Radio,Privado,Diaria,"Cultura, comunidad, política, salud,
Page"
Medio,Estado,Alcance,Tipo,Naturaleza,Periodicidad,Fuentes
,,,,,,"deportes, entretenimiento"
Radio Chiquinquirá FM,Lara,Local,Radio,Privado,Ocasional,Todas las fuentes informativas
Activa,Aragua,"Nacional/Global
(web",Tradicional/Digital,Privado,Otra,No le da cobertura a información
Antena Libre,Lara,Local,Radio,Privado,Diaria,Todas las fuentes informativas
Fabulosa,Lara,Municipal,Radio,Privado,Diaria,Todas las fuentes informativas
Radio San Francisco,Lara,Local,Radio,Privado,Diaria,Religión
Sociedad Civil Radio Occidente,Mérida,Estadal,Radio,Privado,Diaria,Todas las fuentes informativas
Retro Chan el Radio,Lara,Global (web,"Nativo Digital
(Transmitido
exclusivamente vía
web",Privado,Semanal,Música
Radio Tiempo,Distrito,"Regional (varios
estados en
simultáneo",Radio,Privado,Diaria,Religión y culto
JR Radio70,Lara,Local,Otro,Privado,Ocasional,No se suministró información
Radio Sintonía,Distrito,"Regional (varios
estados en
simultáneo",Radio,Privado,Diaria,"Actualidad, internacionales,
nacionales, opinión, entretenimiento,
música"
Radio Barquisimeto 690 Am,Lara,Nacional,Radio,Privado,Diaria,Todas las fuentes informativas
Radio Miraflores,Distrito,"Regional (varios
estados en
simultáneo",Radio,Estatal,Diaria,"Nacionales, internacionales,
regionales, deportes, cultura,
opinión"
Unión Radio,Lara,Nacional,Radio,Privado,Diaria,Todas las fuentes informativas
Radio María,Distrito,"Regional (varios
estados en
simultáneo",Radio,Privado,Ocasional,Religión y culto
La Mega,Lara,Nacional,Radio,Privado,Diaria,Todas las fuentes informativas
,,,,,,"deportes, entretenimiento"
Radio Chiquinquirá FM,Lara,Local,Radio,Privado,Ocasional,Todas las fuentes informativas
Activa,Aragua,"Nacional/Global
(web",Tradicional/Digital,Privado,Otra,No le da cobertura a información
Antena Libre,Lara,Local,Radio,Privado,Diaria,Todas las fuentes informativas
Fabulosa,Lara,Municipal,Radio,Privado,Diaria,Todas las fuentes informativas
Radio San Francisco,Lara,Local,Radio,Privado,Diaria,Religión
Sociedad Civil Radio Occidente,Mérida,Estadal,Radio,Privado,Diaria,Todas las fuentes informativas
Retro Chan el Radio,Lara,Global (web,"Nativo Digital
(Transmitido
exclusivamente vía
web",Privado,Semanal,Música
Radio Tiempo,Distrito,"Regional (varios
estados en
simultáneo",Radio,Privado,Diaria,Religión y culto
JR Radio70,Lara,Local,Otro,Privado,Ocasional,No se suministró información
Radio Sintonía,Distrito,"Regional (varios
estados en
simultáneo",Radio,Privado,Diaria,"Actualidad, internacionales,
nacionales, opinión, entretenimiento,
música"
Radio Barquisimeto 690 Am,Lara,Nacional,Radio,Privado,Diaria,Todas las fuentes informativas
Radio Miraflores,Distrito,"Regional (varios
estados en
simultáneo",Radio,Estatal,Diaria,"Nacionales, internacionales,
regionales, deportes, cultura,
opinión"
Unión Radio,Lara,Nacional,Radio,Privado,Diaria,Todas las fuentes informativas
Radio María,Distrito,"Regional (varios
estados en
simultáneo",Radio,Privado,Ocasional,Religión y culto
La Mega,Lara,Nacional,Radio,Privado,Diaria,Todas las fuentes informativas
Radio Fe y Alegría,Distrito,Global (web,"Versión Digital
(Periódico, tv o radio,",Privado,Diaria,"Actualidad, nacionales,
internacionales, salud, educación,
Page"
Medio,Estado,Alcance,,Tipo,Naturaleza,Periodicidad
,,,que,,,
Resistencia Sur,Aragua,Local,Radio,,Privado,Diaria
,,,,,,
,,,,,,
Radio Continente 590 AM,Distrito,Regional (varios,Radio,,No se,Diaria
,,estados en,,,suministró,
,,simultáneo,,,información,
Carrera 100.5 FM,Aragua,Municipal,Radio,,Privado,Ocasional
,,,,,,
Radio Caracas Radio,Distrito,Global (web,Versión Digital,,Privado,Diaria
,,,"(Periódico, tv o radio,",,,
,,,que,,,
Venezuela Nuevos Tiempos,Aragua,Municipal,Radio,,Estatal,Diaria
,,,,,,
Radio PlayTop Hits 97.7 FM,Barinas,Municipal,Radio,,Privado,Diaria
,,,,,,
Scorpio,Aragua,Local,Radio,,Privado,Ocasional
,,,,,,
,,,,,,
"Corporación Radial Xtrema, C.A",Zulia,Estadal,Radio,,Privado,Diaria
Adrenalina,Aragua,Local,Radio,,Privado,Ocasional
,,,,,,
,,,,,,
Que Pasa en Venezuela,Distrito,Global (web,Nativo Digital,,Privado,Diaria
,,,(Transmitido,,,
,,,exclusivamente vía,,,
,,,web,,,
Radio Plus,Barinas,Municipal,Radio,,Privado,Diaria
,,,,,,
Prodavinci,Distrito,Global (web,Nativo Digital,,Privado,Diaria
,,,que,,,cultura
Resistencia Sur,Aragua,Local,Radio,Privado,Diaria,Información de los consejos
,,,,,,"comunales, Alcaldía de Ribas,"
,,,,,,Gobernación de
Radio Continente 590 AM,Distrito,Regional (varios,Radio,No se,Diaria,Entretenimiento
,,estados en,,suministró,,
,,simultáneo,,información,,
Carrera 100.5 FM,Aragua,Municipal,Radio,Privado,Ocasional,"Farándula, cultura y  actividades"
,,,,,,locales
Radio Caracas Radio,Distrito,Global (web,Versión Digital,Privado,Diaria,"Política, actualidad, economía,"
,,,"(Periódico, tv o radio,",,,"internacionales, opinión, sucesos"
,,,que,,,
Venezuela Nuevos Tiempos,Aragua,Municipal,Radio,Estatal,Diaria,Información de la Alcaldía del
,,,,,,municipio Libertador (Palo Negro
Radio PlayTop Hits 97.7 FM,Barinas,Municipal,Radio,Privado,Diaria,"Entretenimiento, tecnología y"
,,,,,,deportes
Scorpio,Aragua,Local,Radio,Privado,Ocasional,"Farándula, cultura, religión,"
,,,,,,emprendedores y actividades del
,,,,,,gobierno
"Corporación Radial Xtrema, C.A",Zulia,Estadal,Radio,Privado,Diaria,Todas las fuentes informativas
Adrenalina,Aragua,Local,Radio,Privado,Ocasional,Difunde información de la gestión
,,,,,,"del gobierno nacional, regional y"
,,,,,,local
Que Pasa en Venezuela,Distrito,Global (web,Nativo Digital,Privado,Diaria,"Política, Economía, Deportes,"
,,,(Transmitido,,,"Turismo, salud, sucesos,"
,,,exclusivamente vía,,,Entretenimiento
,,,web,,,
Radio Plus,Barinas,Municipal,Radio,Privado,Diaria,"Información general, local, nacional,"
,,,,,,deportes
Prodavinci,Distrito,Global (web,Nativo Digital,Privado,Diaria,"Cultura, entretenimiento, economía,"
,,,(Transmitido,,,"negocios, sucesos, corrupción,"
,,,exclusivamente vía,,,política
,,,web,,,
,,,,,,Page
Medio,Estado,Alcance,Tipo,Naturaleza,Periodicidad,Fuentes
Radio De y Alegría,Lara,"Regional (varios
estados en
simultáneo",Radio,Privado,Diaria,Todas las fuentes informativas
Xtrema 98.9FM,Zulia,Municipal,Radio,Privado,Diaria,Todas las fuentes informativas
B96,Lara,Municipal,Radio,Privado,Diaria,Solo titulares
Noticias Col,Zulia,Global (web,"Versión Digital
(Periódico, tv o radio,
que",Privado,Diaria,"þÿ F u e n t e s :  P e r i o d i s m o  d
Otros medios de comunicación
Temas: Política"
La Voz de Lara,Lara,"Local/Global
(web",Tradicional/Digital,Privado,Otra,Música
Kairos TV,Aragua,Local,TV Cable,Privado,Ocasional,"Difunde noticias sobre gestión de la
Alcaldía de la Colonia Tovar, la"
Súper Llanera,Lara,"Local/Global
(web",Tradicional/Digital,Privado,Otra,Música
Radio Juventud 94.7 FM,Aragua,Municipal,Radio,Privado,Diaria,"Información relacionadas gestión del
gobierno nacional, regional y local"
Radio Dinámica,Lara,Nacional,Radio,Privado,Otra,Emisora de corte evangélica
Diario Los Andes,Trujillo,"Nacional/Global
(web",Tradicional/Digital,Privado,Diaria,Todas las fuentes informativas
Dj Shaggy Venezuela,Lara,Global (web,"TV Digital (La que se
transmite vía internet",Privado,Otra,No difunde
Petroguía,Distrito,Global (web,"Nativo Digital
(Transmitido
exclusivamente vía
web",Privado,Diaria,"Petróleo, tecnología,
sustentabilidad, laboral, energía"
Radio Minuto,Lara,"Regional (varios
estados en
simultáneo",Radio,Privado,Diaria,Noticias locales
PDVSA TV,Distrito,Nacional,TV (Señal analógica,Estatal,Ocasional,"Petróleo, economía, cultura"
Radio De y Alegría,Lara,"Regional (varios
estados en
simultáneo",Radio,Privado,Diaria,Todas las fuentes informativas
Xtrema 98.9FM,Zulia,Municipal,Radio,Privado,Diaria,Todas las fuentes informativas
B96,Lara,Municipal,Radio,Privado,Diaria,Solo titulares
Noticias Col,Zulia,Global (web,"Versión Digital
(Periódico, tv o radio,
que",Privado,Diaria,"þÿ F u e n t e s :  P e r i o d i s m o  d
Otros medios de comunicación
Temas: Política"
La Voz de Lara,Lara,"Local/Global
(web",Tradicional/Digital,Privado,Otra,Música
Kairos TV,Aragua,Local,TV Cable,Privado,Ocasional,"Difunde noticias sobre gestión de la
Alcaldía de la Colonia Tovar, la"
Súper Llanera,Lara,"Local/Global
(web",Tradicional/Digital,Privado,Otra,Música
Radio Juventud 94.7 FM,Aragua,Municipal,Radio,Privado,Diaria,"Información relacionadas gestión del
gobierno nacional, regional y local"
Radio Dinámica,Lara,Nacional,Radio,Privado,Otra,Emisora de corte evangélica
Diario Los Andes,Trujillo,"Nacional/Global
(web",Tradicional/Digital,Privado,Diaria,Todas las fuentes informativas
Dj Shaggy Venezuela,Lara,Global (web,"TV Digital (La que se
transmite vía internet",Privado,Otra,No difunde
Petroguía,Distrito,Global (web,"Nativo Digital
(Transmitido
exclusivamente vía
web",Privado,Diaria,"Petróleo, tecnología,
sustentabilidad, laboral, energía"
Radio Minuto,Lara,"Regional (varios
estados en
simultáneo",Radio,Privado,Diaria,Noticias locales
PDVSA TV,Distrito,Nacional,TV (Señal analógica,Estatal,Ocasional,"Petróleo, economía, cultura"
Sabrosa 90.1 FM,Lara,"Regional (varios
estados en
simultáneo",Radio,Privado,Diaria,"Todas las fuentes informativas
Page"
Medio,Estado,Alcance,Tipo,Naturaleza,Periodicidad,Fuentes
Opinión y Noticias,Distrito,Global (web,"Nativo Digital
(Transmitido
exclusivamente vía
web",Privado,Diaria,"Política, tecnología, cine, libros,
salud, economía"
Sun Channel,Distrito,Nacional,TV Cable,Privado,Diaria,"Turismo, cultura, gastronomía,
ecología"
Onda La Superestación,Distrito,"Regional (varios
estados en
simultáneo",Radio,Privado,Diaria,"Actualidad, nacionales,
internacionales, deportes, cultura,
entretenimiento"
Salsa Caribe,Distrito,Nacional,Radio,Estatal,Ocasional,"Música, actualidad, política, opinión"
Noticiero Digital,Distrito,Global (web,"Nativo Digital
(Transmitido
exclusivamente vía
web",Privado,Diaria,"Política, economía, opinión,
nacionales, internacionales,
variedades"
Runrunes,Distrito,Global (web,"Nativo Digital
(Transmitido
exclusivamente vía
web",Privado,Diaria,"Investigación, actualidad, política"
Noticias 24,Distrito,"Nacional/Global
(web",Tradicional/Digital,Privado,Diaria,"Nacionales, internacionales,
economía, política, deportes,
farándula"
San Sebastianera,Aragua,Municipal,Radio,Privado,Diaria,"Actividades culturales y religión del
municipio, ademas de información a"
Amavisión,Amazonas,Municipal,TV (Señal analógica,Privado,Diaria,Regionales
Alegría,Guárico,Local,Radio,Estatal,Diaria,"Agricultura, gestión de gobierno,
religión, folclore, educación"
Meridiano Televisión,Distrito,"Regional (varios
estados en
simultáneo",TV (Señal analógica,Privado,Diaria,Deportes
Noticia Al Dia,Zulia,Global (web,"Versión Digital
(Periódico, tv o radio,
que",Privado,Diaria,"Regionales, nacionales e
internacionales"
Opinión y Noticias,Distrito,Global (web,"Nativo Digital
(Transmitido
exclusivamente vía
web",Privado,Diaria,"Política, tecnología, cine, libros,
salud, economía"
Sun Channel,Distrito,Nacional,TV Cable,Privado,Diaria,"Turismo, cultura, gastronomía,
ecología"
Onda La Superestación,Distrito,"Regional (varios
estados en
simultáneo",Radio,Privado,Diaria,"Actualidad, nacionales,
internacionales, deportes, cultura,
entretenimiento"
Salsa Caribe,Distrito,Nacional,Radio,Estatal,Ocasional,"Música, actualidad, política, opinión"
Noticiero Digital,Distrito,Global (web,"Nativo Digital
(Transmitido
exclusivamente vía
web",Privado,Diaria,"Política, economía, opinión,
nacionales, internacionales,
variedades"
Runrunes,Distrito,Global (web,"Nativo Digital
(Transmitido
exclusivamente vía
web",Privado,Diaria,"Investigación, actualidad, política"
Noticias 24,Distrito,"Nacional/Global
(web",Tradicional/Digital,Privado,Diaria,"Nacionales, internacionales,
economía, política, deportes,
farándula"
San Sebastianera,Aragua,Municipal,Radio,Privado,Diaria,"Actividades culturales y religión del
municipio, ademas de información a"
Amavisión,Amazonas,Municipal,TV (Señal analógica,Privado,Diaria,Regionales
Alegría,Guárico,Local,Radio,Estatal,Diaria,"Agricultura, gestión de gobierno,
religión, folclore, educación"
Meridiano Televisión,Distrito,"Regional (varios
estados en
simultáneo",TV (Señal analógica,Privado,Diaria,Deportes
Noticia Al Dia,Zulia,Global (web,"Versión Digital
(Periódico, tv o radio,
que",Privado,Diaria,"Regionales, nacionales e
internacionales"
,,,"(Periódico, tv o radio,
que","suministró
información",,
"Fundación Comunitaria Cumbre
Televisión",Zulia,Municipal,TV (Señal analógica,Privado,Ocasional,"Comunidad, deporte, política"
La Tele Tuya,Distrito,Municipal,TV (Señal analógica,Privado,Diaria,"Variedades, deportes, música,
documentales, internacionales"
Rumba Maturín 98.9 FM,Monagas,Nacional,Radio,Privado,Diaria,Entretenimiento
La Romántica 88.9 FM,Distrito,Nacional,Radio,Privado,Diaria,"Actualidad, farándula, música,
belleza, tendencias, tecnología"
Ebenecer,Guárico,Local,Radio,Privado,Diaria,"Religión, cultura, educación"
Agua de Coco,"Vargas (La
Guaira",Estadal,Radio,Privado,Diaria,Música
Latin Top 101.1 FM,Monagas,Local,Radio,Privado,Diaria,Entretenimiento
A1 radio,Falcón,Estadal,Radio,Privado,Diaria,Todas las fuentes informativas
Radio Tiuna Barquisineto,Lara,Nacional,Radio,Estatal,Diaria,Oficialista
Diario Nuevo Día,Falcón,Estadal,Periódico (Impreso,Privado,Diaria,Todas las fuentes informativas
Cantaclaro Maturín,Monagas,Estadal,Radio,Privado,Diaria,Todas las fuentes informativas
Radio Alegria,Aragua,Global (web,"Nativo Digital
(Transmitido
exclusivamente vía
web",Privado,Semanal,"Noticias de eventos que ocurre en
Venezuela, y hechos q se registra en"
La Romántica FM,Aragua,Municipal,Radio,Privado,Diaria,Noticias de farándula y salud
Emisora Mágica,Aragua,Municipal,Radio,Privado,Ocasional,"Denuncia de comunidades por fallas
de servicios publicos"
Caribe 93.5 FM,"Nueva
Esparta",Estadal,Radio,Privado,Diaria,Entretenimiento
Diario Última Hora,Portuguesa,Global (web,"Versión Digital
(Periódico, tv o radio,
que",Privado,Diaria,"Política, deportes, farándula,
sucesos y otras"
,Medio,Estado,Alcance,,Tipo,Naturaleza
Magic FM,,Aragua,Nacional,Radio,,Privado
Reporteros de Merida,,Mérida,Global (web,Nativo Digital,,Privado
,,,,(Transmitido,,
,,,,exclusivamente vía,,
,,,,web,,
La Mega 91.9 FM,,Nueva,Estadal,Radio,,Privado
,,Esparta,,,,
La Mega 107.3,,Distrito,Regional (varios,Radio,,Privado
,,,estados en,,,
,,,simultáneo,,,
Cima FM,,Aragua,Municipal,Radio,,Privado
Televisora Andina de Merida,,Mérida,Estadal,TV Cable,,Privado
Somos Tu Voz 92.7 FM,,Mérida,Estadal/Global,Tradicional/Digital,,Privado
,,,(web,,,
KYS FM,,Distrito,Regional (varios,Radio,,Privado
,,,estados en,,,
,,,simultáneo,,,
Stereo Centro Maracay,,Aragua,Municipal,Radio,,Privado
HispanoPost,,Distrito,Global (web,Nativo Digital,,Privado
,,,,(Transmitido,,
,,,,exclusivamente vía,,
,,,,web,,
Sardina 104.7 FM,,Nueva,Local,Radio,,Estatal
,,Esparta,,,,
Globovisión,,Distrito,Nacional,TV (Señal analógica,,Privado
,,,,,,
,,,,,,
Ciudad FM,,Aragua,Municipal,Radio,,Privado
,,,,,,
,,,,,,
Faro,,Vargas (La,Estadal,Radio,,Privado
Magic FM,Aragua,Nacional,Radio,Privado,Diaria,Noticias del acontecer internacional
Reporteros de Merida,Mérida,Global (web,Nativo Digital,Privado,Diaria,Todas las fuentes informativas
,,,(Transmitido,,,
,,,exclusivamente vía,,,
,,,web,,,
La Mega 91.9 FM,Nueva,Estadal,Radio,Privado,Diaria,Entretenimieto
,Esparta,,,,,
La Mega 107.3,Distrito,Regional (varios,Radio,Privado,Diaria,"Entretenimiento, música"
,,estados en,,,,
,,simultáneo,,,,
Cima FM,Aragua,Municipal,Radio,Privado,Otra,No difunde noticias
